Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,J7,PinHeader_1x10_P2.54mm_Vertical,1,GND,
2,J6,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm_Relief2x,1,Battery Connector,
3,"C2,C3,C4",C_0805_2012Metric,3,100.0nF,
4,J11,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
5,"U3,U1,U2",DRI044,3,~,
6,SW1,SolderWire-2sqmm_1x02_P7.8mm_D2mm_OD3.9mm_Relief2x,1,Battery Switch,
7,TP1,TestPoint_Pad_1.5x1.5mm,1,5V TestPoint,
8,J12,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,V_Batt,
9,A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
10,J5,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Dribbler Motor,
11,TP2,TestPoint_Pad_1.5x1.5mm,1,GND TestPoint,
12,J10,PinHeader_1x10_P2.54mm_Vertical,1,3.0V3,
13,F1,Fuseholder_Clip-5x20mm_Littelfuse_100_Inline_P20.50x4.60mm_D1.30mm_Horizontal,1,Fuse,
14,TP3,TestPoint_Pad_1.5x1.5mm,1,V_Batt Test Point,
15,TP4,TestPoint_Pad_1.5x1.5mm,1,3V3 Test Point,
16,J9,PinHeader_1x10_P2.54mm_Vertical,1,V_Batt,
17,C1,CP_Radial_D8.0mm_P3.50mm,1,470.0uF,
18,J8,PinHeader_1x10_P2.54mm_Vertical,1,5.0V,
19,J3,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor 3,
20,J2,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor 2,
21,J4,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor 4,
22,J1,JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical,1,Motor 1,
,,,,,
